stock,mae,rmse,mape,direction_accuracy,buy_hold_value,buy_hold_return,optimal_n_days_threshold,optimal_final_value,optimal_return_percent
GOOG,0.7955110111446155,1.174715025280209,1.2932700638116235,49.93788819875776,177777.2557362872,77.77725573628719,9,177777.2557362872,77.77725573628719
AAPL,0.949391560422173,1.5578818498301394,1.471415349860536,48.32298136645963,354516.23045143276,254.51623045143273,9,354516.23045143276,254.51623045143273
MSFT,1.7761765879350728,2.832837221031388,1.3177032315757427,45.21739130434783,299038.146813685,199.03814681368502,9,299038.146813685,199.03814681368502
NVDA,0.1386538021461918,0.20869481299311513,2.1565062991423325,45.46583850931677,266131.77122236777,166.13177122236777,9,266131.77122236777,166.13177122236777
AMZN,1.4728143124605453,2.1809243306641184,1.459546000348013,51.925465838509325,329783.08541919687,229.78308541919685,9,329783.08541919687,229.78308541919685
