Date,Close,High,Low,Open,Volume
2005-01-03,18.42040252685547,18.565066058399893,18.35840405818166,18.461734401332475,65002900
2005-01-04,18.48929786682129,18.668404485670337,18.365300875778317,18.509964469967507,109442100
2005-01-05,18.447961807250977,18.668400268680628,18.434184074932407,18.48929369028982,72463500
2005-01-06,18.427295684814453,18.640845285601554,18.35151946902162,18.49618303427004,76890500
2005-01-07,18.3721923828125,18.523743552571514,18.337749353204607,18.47552278555353,68723300
2005-01-10,18.461748123168945,18.503081342283785,18.282642762674943,18.32397466787221,70376600
2005-01-11,18.413511276245117,18.475509736885655,18.330847538002025,18.385957134802897,64712000
2005-01-12,18.447961807250977,18.496182556449103,18.33774257653615,18.44107294109169,72940600
2005-01-13,18.096635818481445,18.46173649324526,18.020859611756844,18.379072734924556,89861600
2005-01-14,17.99330711364746,18.220634440750928,17.93819749840774,18.186190110028058,92180800
2005-01-18,18.131078720092773,18.15174531650362,17.80042106101967,17.931306877121553,69146400
2005-01-19,17.89686393737793,18.08974824375062,17.85553205526837,18.055303913728615,58114100
2005-01-20,17.814205169677734,17.97953405840418,17.731540068355905,17.80042743380456,58380100
2005-01-21,17.669538497924805,18.000196217872833,17.662649631186262,17.87620055833006,76501000
2005-01-24,17.683317184448242,17.910644543403993,17.66265058311879,17.745315674519542,69010900
2005-01-25,17.924419403076172,18.04152749732828,17.738423962690444,17.74531282869549,67580700
2005-01-26,17.917531967163086,18.027751204207316,17.84175574897632,17.958863852575437,64974500
2005-01-27,17.98641586303711,18.02085887527699,17.807309308773014,17.876196647169465,93204100
2005-01-28,18.034643173217773,18.35841207349276,17.883090710773043,18.28263715618757,110466500
2005-01-31,18.103532791137695,18.26886169573362,18.020867681881064,18.151753557405172,71442100
2005-02-01,18.179302215576172,18.206857681627323,18.062194112692666,18.082860712231028,57981700
2005-02-02,18.227521896362305,18.25507736079454,18.103526248167825,18.19996774584693,79329500
2005-02-03,18.034643173217773,18.18619432174533,17.979533545215283,18.165529032442628,62545400
2005-02-04,18.131078720092773,18.165523047444182,18.007081769461177,18.02774836587202,61246500
2005-02-07,18.02086639404297,18.117307919685853,17.951979026904947,18.096642629286517,57763400
2005-02-08,18.075965881347656,18.144853209828433,18.020856281346333,18.04152287406552,61343700
2005-02-09,17.9588680267334,18.124196920726945,17.93820273618249,18.08286502570787,77874800
2005-02-10,17.95197105407715,18.000191795482802,17.91063917771754,17.979526514261327,71796400
2005-02-11,17.88997459411621,17.99330626750876,17.779755368819846,17.931307789039955,83835900
